model,scenario,accuracy,weighted_f1
TF-IDF - Linear SVM,Original→Original,0.7973333333333333,0.7977063708137172
TF-IDF - Linear SVM,SMOTE→SMOTE,0.7862595419847328,0.7895565028192146
TF-IDF - Linear SVM,SMOTE→Original,0.784,0.7838690998690999
BoW - Logistic Regression,SMOTE→SMOTE,0.7767175572519084,0.7754416560724863
BoW - Logistic Regression,SMOTE→Original,0.7706666666666667,0.7700880820472309
BoW - Logistic Regression,Original→Original,0.7653333333333333,0.7654038086829374
